,Squad,Comp,Player,Pos,Age,Min_Playing,Gls,Ast,G+A,xG_Expected,npxG_Expected,xAG_Expected,TklW_Tackles,Sh_Blocks,Int,Clr,Recov,xG_Expected_norm,xAG_Expected_norm,G+A_norm,TklW_Tackles_norm,Sh_Blocks_norm,Int_norm,Clr_norm,Recov_norm,Min_Playing_norm,Score,Rank
1522,Liverpool,Premier League,Mohamed Salah,FW,32.0,3371.0,29,18,47,25.2,18.2,14.2,11,0,9,5,101,1.0,1.0,1.0,0.1375,0.0,0.13636363636363635,0.020080321285140562,0.4410480349344978,0.9856683240713658,0.786033015832732,1.0
609,Chelsea,Premier League,Cole Palmer,"MF,FW",22.0,3191.0,15,8,23,17.3,13.3,10.9,20,1,11,20,106,0.6865079365079365,0.767605633802817,0.48936170212765956,0.25,0.017543859649122806,0.16666666666666666,0.08032128514056225,0.462882096069869,0.9330213512723018,0.5528676110784023,2.0
450,Brentford,Premier League,Bryan Mbeumo,FW,24.0,3414.0,20,7,27,12.3,7.5,8.3,31,3,14,55,156,0.48809523809523814,0.5845070422535212,0.574468085106383,0.3875,0.05263157894736842,0.21212121212121213,0.22088353413654618,0.6812227074235808,0.9982451009066978,0.5058538035773227,3.0
1902,Newcastle Utd,Premier League,Alexander Isak,FW,24.0,2756.0,23,6,29,20.3,17.2,4.3,5,2,3,17,55,0.8055555555555556,0.3028169014084507,0.6170212765957447,0.0625,0.03508771929824561,0.045454545454545456,0.06827309236947791,0.24017467248908297,0.805791167007897,0.4884983620984682,4.0
1623,Manchester City,Premier League,Erling Haaland,FW,24.0,2736.0,22,3,25,22.0,18.8,3.0,6,1,5,23,34,0.873015873015873,0.21126760563380284,0.5319148936170213,0.075,0.017543859649122806,0.07575757575757576,0.09236947791164658,0.14847161572052403,0.7999415033635566,0.47099546337504805,5.0
1650,Manchester Utd,Premier League,Bruno Fernandes,MF,29.0,3018.0,8,10,18,9.9,7.6,8.5,50,6,26,35,213,0.3928571428571429,0.5985915492957746,0.3829787234042553,0.625,0.10526315789473684,0.3939393939393939,0.14056224899598393,0.9301310043668122,0.882421760748757,0.4680370756944331,6.0
462,Brentford,Premier League,Yoane Wissa,FW,27.0,2919.0,19,4,23,18.5,18.5,2.6,12,8,8,21,81,0.7341269841269842,0.18309859154929578,0.48936170212765956,0.15,0.14035087719298245,0.12121212121212122,0.08433734939759036,0.3537117903930131,0.8534659257092717,0.43988405716873524,7.0
676,Crystal Palace,Premier League,Ismaila Sarr,MF,26.0,2711.0,8,6,14,10.7,10.7,8.5,10,8,9,40,113,0.4246031746031746,0.5985915492957746,0.2978723404255319,0.125,0.14035087719298245,0.13636363636363635,0.1606425702811245,0.49344978165938863,0.7926294238081311,0.3990955447904769,8.0
2829,Wolves,Premier League,Matheus Cunha,"MF,FW",25.0,2597.0,15,6,21,8.6,8.6,7.7,22,1,17,23,125,0.3412698412698413,0.5422535211267606,0.44680851063829785,0.275,0.017543859649122806,0.25757575757575757,0.09236947791164658,0.5458515283842795,0.7592863410353905,0.3975747069617739,9.0
425,Bournemouth,Premier League,Antoine Semenyo,FW,24.0,3203.0,11,5,16,10.0,10.0,5.8,35,9,11,39,158,0.39682539682539686,0.4084507042253521,0.3404255319148936,0.4375,0.15789473684210525,0.16666666666666666,0.1566265060240964,0.6899563318777293,0.9365311494589061,0.39608163581914346,10.0
2771,West Ham,Premier League,Jarrod Bowen,"FW,MF",27.0,2973.0000000000005,13,8,21,8.6,7.8,6.8,26,4,16,25,129,0.3412698412698413,0.47887323943661975,0.44680851063829785,0.325,0.07017543859649122,0.24242424242424243,0.10040160642570281,0.5633187772925764,0.8692600175489911,0.3960463065103361,11.0
111,Aston Villa,Premier League,Ollie Watkins,FW,28.0,2598.0,16,8,24,15.3,13.8,3.3,7,3,8,15,43,0.6071428571428572,0.2323943661971831,0.5106382978723404,0.0875,0.05263157894736842,0.12121212121212122,0.060240963855421686,0.18777292576419213,0.7595788242176075,0.3941962106565974,12.0
661,Crystal Palace,Premier League,Eberechi Eze,"MF,FW",26.0,2588.0,8,8,16,10.5,8.9,6.2,22,0,11,10,146,0.4166666666666667,0.4366197183098592,0.3404255319148936,0.275,0.0,0.16666666666666666,0.040160642570281124,0.6375545851528385,0.7566539923954373,0.37421084438421176,13.0
1507,Liverpool,Premier League,Luis Díaz,FW,27.0,2399.0,13,5,18,12.0,12.0,5.0,26,0,7,7,105,0.4761904761904762,0.35211267605633806,0.3829787234042553,0.325,0.0,0.10606060606060606,0.028112449799196786,0.4585152838427948,0.70137467095642,0.3708285732822124,14.0
672,Crystal Palace,Premier League,Daniel Muñoz,DF,28.0,3228.0,4,5,9,4.9,4.9,5.5,80,6,44,108,171,0.19444444444444448,0.38732394366197187,0.19148936170212766,1.0,0.10526315789473684,0.6666666666666666,0.43373493975903615,0.7467248908296943,0.9438432290143317,0.36890763861437653,15.0
